epoch,mean_episode_reward,mean_jain_index,total_policy_loss,total_value_loss
321,743.5415120478956,0.7893712834346106,-0.12258408500801632,256.7282129363731
322,706.8776777811372,0.8036312520380584,-0.36290948316615135,241.7353806343892
323,728.206476827242,0.8125165182677792,-0.7238756489852313,288.1085727689591
324,695.774576999245,0.8248352304066644,-0.1307743910168475,275.7267151963995
325,705.5585676665086,0.7998129588789583,0.7932526281900535,268.33062973867993
326,689.8768770509374,0.8207931433956961,0.08890893764729424,211.99217788413756
327,643.1780018452203,0.8329133424226088,-1.1915204148489889,282.18394516351213
328,580.7201196087086,0.8668424697884096,-0.9805029476463705,278.31542068869646
329,564.3725470044401,0.8748251920754511,-1.018137650071219,322.4474959693573
330,567.7993764643013,0.8778312273046887,-1.3817498622850748,320.1696710205146
331,577.0334295310631,0.8436278594515562,-2.7299352843907876,349.9002347814232
332,582.1593926749014,0.8399481927245026,-2.7115013513253943,363.80350299589
333,565.9666022656205,0.8243820982164564,-2.515656096227713,324.66859189128877
334,578.2141849370547,0.7903304261316996,-1.4865004589020692,343.5724911878105
335,585.8950769664709,0.8099842458106099,0.17897398556050748,384.1472937885357
336,530.6688500265216,0.7843927064758959,-0.44584459213517136,385.19093579696903
337,546.1986206405952,0.7698778302128265,-0.25907782765809306,354.97561850283614
338,527.8530865508368,0.7417446082758621,-1.1823110737689975,300.9082342781828
339,498.57688896151683,0.7628174442080189,-2.1317099626009406,406.20351687167846
340,513.3764259879435,0.7665141666819164,-2.9900677427821543,434.2159120480381
341,496.1072912008103,0.7689543629748237,-0.4299832045133596,430.3735160590521
342,530.5854909893806,0.7548908344723059,-0.46497169501032126,501.2055414844725
343,511.7764792557475,0.7911398056322444,0.24278024044515417,478.7068704487018
344,530.7487114274131,0.810590894624779,0.8645902026623506,415.8978816530836
345,508.93459615266704,0.8056405219137489,0.7901567735623044,440.7247655551107
346,514.2656261806646,0.7789336347395469,1.1703546245682677,465.14819536646365
347,531.0593396185958,0.8005492492506393,2.0042767791171716,483.5153985356011
348,528.9543682748364,0.7673300305803195,2.4338949982497575,491.82290602212555
349,537.1017333906976,0.7417950590639133,1.3528384578414951,533.9490201554416
350,535.9150787749979,0.7554250730113657,1.3811568339719562,535.1392657352715
351,564.0635929542779,0.7451041784470183,1.4772776109129395,516.6482541870698
352,551.0287061313084,0.7389207359776455,1.6994113825466524,497.4983093205307
353,588.701389898514,0.7210285899332555,1.5125397383852932,479.9090669895637
354,632.110726429126,0.724959685463487,2.5443842778539283,420.4866520680848
355,640.1222344052037,0.7427523013759557,2.6266682671293524,463.1058670706989
356,624.6035809021926,0.7709392501796674,4.925566390748603,448.59232465311254
357,611.2385052601694,0.8000069397220214,6.505138536479316,427.6779235669818
358,598.6329007472937,0.7943712475448113,5.1606880254450385,390.9318457076139
359,568.5086777447316,0.7790152962427287,5.126003138058257,400.3004350090747
360,615.0236925291539,0.7590482154279529,6.110325536534841,391.74088124005436
361,613.5397812395809,0.772544605271285,4.987603514972543,407.0372710874164
362,618.5333474859725,0.782393630551448,5.276772158880361,505.24927668385214
363,599.4011479584331,0.7717736914514116,4.653631632455596,483.030191917442
364,580.2795341392375,0.7955540220735626,6.074135880445451,460.2003401674629
365,555.3088669461107,0.8049823332012908,5.521912836164479,485.51761287768335
366,561.3965575716497,0.7746674509013461,7.0694180374945415,557.3527198015042
367,543.0128968571181,0.7669134197026265,7.355283428219447,570.7309914009852
368,562.769225037303,0.8071175104779535,7.178336200725397,538.799101619447
369,521.3896481968673,0.7924989096791152,7.1452092278516,610.5814161601585
370,505.8613092257821,0.7969746687118932,7.128786331778848,658.1171470980819
